Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;  15.6 ;0.0 ;  17.6 ;  0.3 ;  16.8 ;  0.1 ;  15.7 ;  0.1 ;  15.1 ;  0.1 ;  15.0 ;  0.1 ;  16.3 ;  0.4 ;;;;;;;;;
Zürich;  18.2 ;  0.1 ;  21.8 ;  0.8 ;  20.1 ;  0.3 ;  18.3 ;  0.2 ;  17.4 ;  0.2 ;  17.3 ;  0.3 ;  18.6 ;  0.9 ;;;;;;;;;
Bern;  14.1 ;  0.1 ;  14.8 ;  1.0 ;  15.2 ;  0.3 ;  14.3 ;  0.2 ;  13.8 ;  0.2 ;  13.1 ;  0.3 ;  13.7 ;  0.7 ;;;;;;;;;
Luzern;  14.9 ;  0.1 ;  18.2 ;  1.2 ;  16.5 ;  0.5 ;  15.2 ;  0.2 ;  14.3 ;  0.2 ;  14.1 ;  0.3 ;  14.4 ;  0.9 ;;;;;;;;;
Uri;  13.1 ;  0.5 ;  (14.3) ;  (3.9) ;  (15.7) ;  (2.3) ;  12.7 ;  1.0 ;  12.8 ;  0.8 ;  (12.9) ;  (1.0) ;  (11.6) ;  (2.1) ;;;;;;;;;
Schwyz;  16.5 ;  0.3 ;  (14.3) ;  (3.4) ;  16.8 ;  1.2 ;  16.6 ;  0.6 ;  16.5 ;  0.5 ;  16.3 ;  1.0 ;  (16.3) ;  (2.8) ;;;;;;;;;
Obwalden;  13.2 ;  0.6 ;  (7.1) ;  (3.0) ;  (15.0) ;  (1.7) ;  13.0 ;  1.2 ;  13.4 ;  0.8 ;  (12.4) ;  (1.5) ;  (13.0) ;  (2.1) ;;;;;;;;;
Nidwalden;  15.3 ;  0.5 ;  (12.8) ;  (6.8) ;  17.9 ;  1.7 ;  15.3 ;  0.9 ;  14.8 ;  0.6 ;  15.4 ;  1.1 ;  (14.5) ;  (3.5) ;;;;;;;;;
Glarus;  11.6 ;  0.5 ;X  ;*  ;  (11.8) ;  (1.1) ;  11.8 ;  1.1 ;  11.8 ;  0.7 ;  (10.7) ;  (1.4) ;  (9.5) ;  (2.2) ;;;;;;;;;
Zug;  19.3 ;  0.3 ;  22.6 ;  2.3 ;  21.1 ;  1.1 ;  19.5 ;  0.5 ;  18.6 ;  0.3 ;  18.9 ;  0.7 ;  19.4 ;  2.2 ;;;;;;;;;
Freiburg;  14.1 ;  0.2 ;  16.1 ;  1.6 ;  15.2 ;  0.7 ;  14.2 ;  0.3 ;  13.5 ;  0.3 ;  13.4 ;  0.8 ;  13.6 ;  1.9 ;;;;;;;;;
Solothurn;  13.2 ;  0.2 ;  14.6 ;  1.7 ;  14.3 ;  0.6 ;  13.4 ;  0.3 ;  12.8 ;  0.3 ;  12.4 ;  0.8 ;  (12.8) ;  (1.2) ;;;;;;;;;
Basel-Stadt;  16.9 ;  0.2 ;  18.4 ;  1.3 ;  17.8 ;  0.5 ;  16.4 ;  0.3 ;  16.5 ;  0.4 ;  17.1 ;  1.1 ;  19.8 ;  2.3 ;;;;;;;;;
Basel-Landschaft;  16.0 ;  0.2 ;  14.8 ;  2.2 ;  16.9 ;  0.7 ;  16.3 ;  0.3 ;  15.7 ;  0.3 ;  14.9 ;  0.8 ;  (19.5) ;  (5.9) ;;;;;;;;;
Schaffhausen;  13.1 ;  0.3 ;  (12.1) ;  (2.6) ;  15.4 ;  1.0 ;  13.1 ;  0.6 ;  12.3 ;  0.5 ;  13.1 ;  1.2 ;  (14.1) ;  (2.7) ;;;;;;;;;
Appenzell A.Rh.;  12.6 ;  0.5 ;  (11.6) ;  (3.9) ;  13.4 ;  1.3 ;  13.0 ;  0.8 ;  13.1 ;  0.7 ;  11.1 ;  1.0 ;  (10.7) ;  (2.2) ;;;;;;;;;
Appenzell I.Rh.;  13.3 ;  0.9 ;X  ;*  ;  (15.5) ;  (4.0) ;  (12.9) ;  (1.8) ;  (13.7) ;  (1.1) ;  (12.9) ;  (1.8) ;  (11.9) ;  (2.6) ;;;;;;;;;
St.Gallen;  13.6 ;  0.2 ;  14.1 ;  1.7 ;  14.7 ;  0.5 ;  14.0 ;  0.3 ;  13.4 ;  0.2 ;  12.6 ;  0.4 ;  13.2 ;  1.1 ;;;;;;;;;
Graubünden;  14.9 ;  0.3 ;  19.3 ;  2.9 ;  16.5 ;  1.1 ;  15.2 ;  0.6 ;  14.3 ;  0.4 ;  13.2 ;  0.9 ;  (13.1) ;  (1.9) ;;;;;;;;;
Aargau;  14.7 ;  0.1 ;  15.7 ;  1.5 ;  16.7 ;  0.5 ;  15.0 ;  0.2 ;  14.3 ;  0.2 ;  13.9 ;  0.4 ;  13.4 ;  1.1 ;;;;;;;;;
Thurgau;  12.9 ;  0.1 ;  14.0 ;  1.7 ;  13.9 ;  0.5 ;  13.3 ;  0.3 ;  12.6 ;  0.2 ;  12.0 ;  0.4 ;  12.0 ;  0.7 ;;;;;;;;;
Tessin;  13.3 ;  0.2 ;  11.1 ;  0.9 ;  12.9 ;  0.4 ;  13.3 ;  0.3 ;  13.6 ;  0.3 ;  13.9 ;  0.6 ;  17.3 ;  1.9 ;;;;;;;;;
Waadt;  16.7 ;  0.1 ;  20.2 ;  0.8 ;  17.7 ;  0.3 ;  16.3 ;  0.2 ;  16.0 ;  0.2 ;  15.9 ;  0.4 ;  17.5 ;  1.3 ;;;;;;;;;
Wallis;  13.1 ;  0.2 ;  14.1 ;  1.7 ;  14.2 ;  0.7 ;  13.3 ;  0.4 ;  12.5 ;  0.3 ;  12.4 ;  0.6 ;  (12.5) ;  (1.6) ;;;;;;;;;
