Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2018;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;16.2 ;0.0 ;19.2 ;0.4 ;17.7 ;0.1 ;16.3 ;0.1 ;15.5 ;0.1 ;15.3 ;0.1 ;16.3 ;0.3 ;;;;;;;;;
Zürich;19.1 ;0.1 ;22.7 ;1.0 ;21.0 ;0.3 ;19.1 ;0.2 ;18.0 ;0.1 ;18.0 ;0.3 ;18.9 ;0.9 ;;;;;;;;;
Bern;14.7 ;0.1 ;16.3 ;0.9 ;15.9 ;0.3 ;14.8 ;0.1 ;14.1 ;0.2 ;13.6 ;0.4 ;14.4 ;0.9 ;;;;;;;;;
Luzern;15.1 ;0.1 ;19.1 ;1.4 ;17.1 ;0.5 ;15.6 ;0.2 ;14.4 ;0.1 ;14.1 ;0.4 ;13.9 ;0.7 ;;;;;;;;;
Uri;13.1 ;0.4 ;(15.8) ;(6.4) ;(14.6) ;(1.5) ;13.4 ;0.8 ;12.6 ;0.6 ;12.4 ;1.3 ;(14.5) ;(2.4) ;;;;;;;;;
Schwyz;16.8 ;0.3 ;(18.3) ;(3.1) ;18.5 ;1.4 ;16.5 ;0.6 ;16.5 ;0.5 ;16.5 ;1.0 ;17.3 ;2.0 ;;;;;;;;;
Obwalden;13.7 ;0.6 ;(13.2) ;(7.3) ;15.3 ;1.8 ;14.2 ;1.1 ;13.7 ;0.7 ;12.4 ;1.1 ;(10.4) ;(3.6) ;;;;;;;;;
Nidwalden;15.8 ;0.5 ;(21.2) ;(4.8) ;(18.6) ;(1.3) ;15.7 ;1.0 ;15.4 ;0.7 ;14.7 ;1.7 ;(15.5) ;(2.0) ;;;;;;;;;
Glarus;12.8 ;0.5 ;(16.8) ;(2.7) ;15.6 ;1.8 ;13.1 ;0.8 ;12.5 ;0.8 ;(9.8) ;(1.5) ;(12.3) ;(5.0) ;;;;;;;;;
Zug;19.4 ;0.2 ;21.5 ;2.4 ;21.5 ;0.8 ;19.8 ;0.4 ;18.6 ;0.3 ;18.8 ;0.6 ;20.3 ;1.7 ;;;;;;;;;
Freiburg;14.6 ;0.2 ;18.0 ;1.7 ;16.5 ;0.7 ;14.7 ;0.3 ;13.8 ;0.3 ;13.4 ;0.6 ;12.4 ;1.2 ;;;;;;;;;
Solothurn;13.5 ;0.2 ;15.5 ;1.8 ;14.6 ;0.6 ;13.3 ;0.3 ;13.3 ;0.3 ;12.8 ;0.7 ;(14.5) ;(1.7) ;;;;;;;;;
Basel-Stadt;18.0 ;0.2 ;20.1 ;1.2 ;18.8 ;0.5 ;17.4 ;0.3 ;17.3 ;0.4 ;19.3 ;0.9 ;21.3 ;2.1 ;;;;;;;;;
Basel-Landschaft;16.8 ;0.2 ;19.8 ;2.4 ;17.6 ;0.8 ;16.9 ;0.3 ;16.4 ;0.3 ;15.7 ;0.9 ;17.6 ;2.3 ;;;;;;;;;
Schaffhausen;13.4 ;0.3 ;(17.3) ;(4.1) ;14.8 ;1.1 ;13.5 ;0.5 ;13.1 ;0.4 ;12.1 ;1.0 ;(13.4) ;(2.8) ;;;;;;;;;
Appenzell A.Rh.;13.0 ;0.5 ;(11.5) ;(3.4) ;15.8 ;1.6 ;12.8 ;1.0 ;12.8 ;0.8 ;12.8 ;1.4 ;(11.5) ;(1.9) ;;;;;;;;;
Appenzell I.Rh.;13.7 ;0.9 ;(14.8) ;(3.2) ;(14.3) ;(2.2) ;(14.4) ;(1.9) ;(13.3) ;(1.4) ;(12.6) ;(2.4) ;X   ;*   ;;;;;;;;;
St.Gallen;14.1 ;0.2 ;17.2 ;1.9 ;15.1 ;0.5 ;14.5 ;0.3 ;13.6 ;0.2 ;13.3 ;0.4 ;12.0 ;0.9 ;;;;;;;;;
Graubünden;15.0 ;0.3 ;17.0 ;2.2 ;16.5 ;1.0 ;15.6 ;0.5 ;14.5 ;0.4 ;13.3 ;0.8 ;(12.2) ;(1.6) ;;;;;;;;;
Aargau;15.1 ;0.1 ;17.8 ;1.6 ;16.5 ;0.4 ;15.6 ;0.2 ;14.5 ;0.2 ;13.7 ;0.4 ;13.9 ;1.0 ;;;;;;;;;
Thurgau;13.3 ;0.2 ;15.0 ;2.3 ;15.1 ;0.7 ;13.7 ;0.3 ;12.8 ;0.3 ;12.2 ;0.5 ;12.2 ;1.0 ;;;;;;;;;
Tessin;13.7 ;0.1 ;12.6 ;0.8 ;13.6 ;0.4 ;13.7 ;0.2 ;13.9 ;0.2 ;14.0 ;0.7 ;15.8 ;1.9 ;;;;;;;;;
Waadt;17.5 ;0.1 ;23.3 ;0.7 ;19.1 ;0.2 ;17.1 ;0.2 ;16.6 ;0.2 ;16.2 ;0.3 ;17.6 ;0.9 ;;;;;;;;;
Wallis;13.8 ;0.2 ;16.4 ;1.7 ;15.0 ;0.7 ;14.0 ;0.3 ;13.0 ;0.3 ;12.3 ;0.7 ;(12.4) ;(2.1) ;;;;;;;;;
Neuenburg;12.5 ;0.2 ;14.3 ;1.4 ;12.6 ;0.5 ;12.2 ;0.2 ;12.6 ;0.2 ;12.4 ;0.5 ;12.8 ;1.2 ;;;;;;;;;
Genf;19.1 ;0.2 ;20.8 ;1.0 ;19.7 ;0.5 ;18.9 ;0.3 ;18.4 ;0.3 ;18.2 ;0.7 ;22.2 ;1.1 ;;;;;;;;;
Jura;10.9 ;0.4 ;(8.9) ;(2.5) ;11.9 ;1.2 ;10.9 ;0.6 ;11.0 ;0.6 ;10.1 ;1.1 ;(10.2) ;(1.2) ;;;;;;;;;
Aufgrund methodischer Änderungen ab dem Jahr 2018 im Bereich der Erhebungsmethode, der Gewichtung sowie der Detektierung von Ausreissern können die Ergebnisse nur bedingt mit den Erhebungen vor 2018 verglichen werden.;;;;;;;;;;;;;;;;;;;;;;;
