Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2017;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;  15.9 ;0.0 ;  18.2 ;  0.3 ;  17.2 ;  0.1 ;  16.0 ;  0.1 ;  15.2 ;  0.1 ;  15.3 ;  0.1 ;  16.0 ;  0.3 ;;;;;;;;;
Zürich;  18.6 ;  0.1 ;  21.8 ;  0.9 ;  20.7 ;  0.3 ;  18.7 ;  0.2 ;  17.5 ;  0.2 ;  17.6 ;  0.4 ;  18.1 ;  0.9 ;;;;;;;;;
Bern;  14.4 ;  0.1 ;  16.0 ;  0.9 ;  15.2 ;  0.3 ;  14.5 ;  0.2 ;  14.1 ;  0.2 ;  13.6 ;  0.3 ;  13.5 ;  0.9 ;;;;;;;;;
Luzern;  15.0 ;  0.1 ;  18.8 ;  1.4 ;  16.8 ;  0.5 ;  15.4 ;  0.2 ;  14.2 ;  0.2 ;  14.1 ;  0.4 ;  14.2 ;  0.9 ;;;;;;;;;
Uri;  12.9 ;  0.5 ;  (13.4) ;  (6.1) ;  (13.4) ;  (2.0) ;  13.1 ;  0.8 ;  12.6 ;  0.6 ;  12.8 ;  1.3 ;  (12.8) ;  (2.1) ;;;;;;;;;
Schwyz;  16.3 ;  0.3 ;  17.9 ;  2.9 ;  17.8 ;  1.2 ;  16.3 ;  0.6 ;  16.0 ;  0.5 ;  15.3 ;  0.8 ;  17.2 ;  2.1 ;;;;;;;;;
Obwalden;  13.8 ;  0.6 ;  (15.9) ;  (4.1) ;  (14.6) ;  (2.4) ;  14.0 ;  1.1 ;  13.6 ;  0.8 ;  12.8 ;  1.4 ;  (12.3) ;  (3.2) ;;;;;;;;;
Nidwalden;  15.7 ;  0.6 ;  (14.6) ;  (3.6) ;  16.6 ;  2.8 ;  16.7 ;  1.2 ;  15.1 ;  0.7 ;  14.9 ;  1.2 ;  (14.5) ;  (4.0) ;;;;;;;;;
Glarus;  12.6 ;  0.5 ;  (12.7) ;  (3.8) ;  (15.2) ;  (1.3) ;  12.7 ;  0.8 ;  12.7 ;  0.8 ;  11.5 ;  1.4 ;  (10.3) ;  (1.6) ;;;;;;;;;
Zug;  19.5 ;  0.2 ;  22.1 ;  2.7 ;  21.7 ;  0.9 ;  19.5 ;  0.5 ;  18.8 ;  0.3 ;  18.7 ;  0.6 ;  22.5 ;  1.8 ;;;;;;;;;
Freiburg;  14.4 ;  0.2 ;  18.2 ;  1.8 ;  15.7 ;  0.7 ;  14.8 ;  0.3 ;  13.5 ;  0.3 ;  13.5 ;  0.6 ;  13.7 ;  1.4 ;;;;;;;;;
Solothurn;  13.3 ;  0.2 ;  12.9 ;  2.0 ;  13.9 ;  0.7 ;  13.6 ;  0.3 ;  12.9 ;  0.3 ;  12.9 ;  0.6 ;  (13.2) ;  (1.5) ;;;;;;;;;
Basel-Stadt;  17.2 ;  0.2 ;  17.5 ;  1.4 ;  18.2 ;  0.5 ;  16.8 ;  0.3 ;  16.7 ;  0.4 ;  17.3 ;  1.0 ;  19.1 ;  2.0 ;;;;;;;;;
Basel-Landschaft;  16.6 ;  0.2 ;  17.0 ;  2.5 ;  17.1 ;  0.6 ;  16.7 ;  0.3 ;  16.2 ;  0.3 ;  16.8 ;  0.9 ;  18.4 ;  2.2 ;;;;;;;;;
Schaffhausen;  13.3 ;  0.3 ;  (11.7) ;  (1.8) ;  15.2 ;  1.2 ;  13.5 ;  0.5 ;  12.8 ;  0.5 ;  13.3 ;  1.0 ;  (13.5) ;  (1.7) ;;;;;;;;;
Appenzell A.Rh.;  12.7 ;  0.5 ;  (16.5) ;  (3.1) ;  15.0 ;  1.4 ;  12.8 ;  1.0 ;  12.7 ;  0.8 ;  11.8 ;  1.1 ;  (10.8) ;  (1.7) ;;;;;;;;;
Appenzell I.Rh.;  13.3 ;  0.9 ;  (15.6) ;  (7.6) ;  (11.2) ;  (2.3) ;  (15.0) ;  (1.4) ;  (13.0) ;  (1.7) ;  (12.6) ;  (1.8) ;  (15.1) ;  (3.5) ;;;;;;;;;
St.Gallen;  13.8 ;  0.1 ;  15.9 ;  1.5 ;  15.4 ;  0.5 ;  14.4 ;  0.2 ;  13.3 ;  0.2 ;  12.8 ;  0.4 ;  12.3 ;  0.9 ;;;;;;;;;
Graubünden;  14.9 ;  0.3 ;  18.7 ;  2.7 ;  16.4 ;  1.2 ;  15.3 ;  0.5 ;  14.8 ;  0.4 ;  12.2 ;  0.9 ;  11.9 ;  1.4 ;;;;;;;;;
Aargau;  14.8 ;  0.1 ;  16.3 ;  1.6 ;  16.0 ;  0.5 ;  15.1 ;  0.2 ;  14.3 ;  0.2 ;  14.2 ;  0.4 ;  14.1 ;  0.9 ;;;;;;;;;
Thurgau;  13.2 ;  0.1 ;  13.8 ;  1.7 ;  14.4 ;  0.5 ;  13.9 ;  0.2 ;  12.8 ;  0.2 ;  11.9 ;  0.4 ;  11.8 ;  0.6 ;;;;;;;;;
Tessin;  13.4 ;  0.1 ;  11.7 ;  0.9 ;  13.2 ;  0.4 ;  13.5 ;  0.2 ;  13.5 ;  0.2 ;  14.2 ;  0.6 ;  16.0 ;  1.6 ;;;;;;;;;
Waadt;  17.1 ;  0.1 ;  21.3 ;  0.8 ;  18.3 ;  0.3 ;  17.1 ;  0.2 ;  15.9 ;  0.2 ;  16.7 ;  0.4 ;  17.3 ;  0.8 ;;;;;;;;;
Wallis;  13.7 ;  0.2 ;  17.4 ;  1.6 ;  14.9 ;  0.7 ;  13.9 ;  0.4 ;  12.6 ;  0.3 ;  12.8 ;  0.7 ;  (14.0) ;  (1.8) ;;;;;;;;;
