Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;  15.9 ;0.0 ;  18.3 ;  0.4 ;  17.3 ;  0.1 ;  16.0 ;  0.1 ;  15.4 ;  0.1 ;  15.1 ;  0.1 ;  15.9 ;  0.4 ;;;;;;;;;
Zürich;  18.5 ;  0.1 ;  21.6 ;  1.1 ;  20.3 ;  0.4 ;  18.5 ;  0.2 ;  17.8 ;  0.2 ;  17.7 ;  0.4 ;  18.6 ;  1.1 ;;;;;;;;;
Bern;  14.7 ;  0.1 ;  17.5 ;  1.4 ;  15.5 ;  0.4 ;  15.0 ;  0.2 ;  14.3 ;  0.2 ;  13.9 ;  0.4 ;  14.2 ;  0.9 ;;;;;;;;;
Luzern;  15.0 ;  0.1 ;  19.3 ;  1.3 ;  16.9 ;  0.6 ;  15.4 ;  0.2 ;  14.3 ;  0.2 ;  14.3 ;  0.4 ;  13.9 ;  1.0 ;;;;;;;;;
Uri;  12.9 ;  0.6 ;X  ;*  ;  (14.9) ;  (2.7) ;  12.9 ;  1.4 ;  12.8 ;  0.7 ;  (12.2) ;  (1.0) ;  (12.9) ;  (3.4) ;;;;;;;;;
Schwyz;  16.8 ;  0.4 ;  (17.4) ;  (2.8) ;  18.5 ;  1.3 ;  16.9 ;  0.9 ;  16.4 ;  0.6 ;  16.4 ;  1.2 ;  (17.2) ;  (2.6) ;;;;;;;;;
Obwalden;  14.2 ;  0.7 ;X  ;*  ;  (16.0) ;  (2.1) ;  14.4 ;  1.3 ;  13.9 ;  1.0 ;  (13.1) ;  (2.3) ;  (13.0) ;  (4.4) ;;;;;;;;;
Nidwalden;  15.8 ;  0.6 ;  (26.5) ;  (6.0) ;  (18.8) ;  (2.7) ;  15.8 ;  1.0 ;  15.0 ;  0.7 ;  (15.6) ;  (1.6) ;  (14.2) ;  (5.4) ;;;;;;;;;
Glarus;  12.3 ;  0.5 ;  (14.3) ;  (2.3) ;  (12.9) ;  (2.4) ;  12.4 ;  0.9 ;  12.4 ;  0.8 ;  (11.9) ;  (1.2) ;  (12.0) ;  (2.9) ;;;;;;;;;
Zug;  19.4 ;  0.3 ;  21.0 ;  2.9 ;  21.6 ;  1.3 ;  19.6 ;  0.5 ;  18.6 ;  0.4 ;  19.1 ;  0.8 ;  (22.6) ;  (3.2) ;;;;;;;;;
Freiburg;  14.4 ;  0.2 ;  17.1 ;  2.3 ;  16.1 ;  0.8 ;  14.6 ;  0.4 ;  13.8 ;  0.3 ;  12.8 ;  0.8 ;  (13.1) ;  (1.8) ;;;;;;;;;
Solothurn;  13.5 ;  0.2 ;  (15.5) ;  (2.9) ;  14.8 ;  0.8 ;  13.5 ;  0.4 ;  13.4 ;  0.3 ;  12.5 ;  0.6 ;  (11.9) ;  (1.6) ;;;;;;;;;
Basel-Stadt;  16.9 ;  0.2 ;  19.1 ;  1.6 ;  17.5 ;  0.5 ;  16.6 ;  0.3 ;  16.7 ;  0.5 ;  16.5 ;  1.1 ;  (18.3) ;  (2.2) ;;;;;;;;;
Basel-Landschaft;  16.7 ;  0.2 ;  (14.5) ;  (2.3) ;  17.7 ;  0.7 ;  16.9 ;  0.3 ;  16.5 ;  0.4 ;  16.4 ;  1.0 ;  (16.9) ;  (2.6) ;;;;;;;;;
Schaffhausen;  12.9 ;  0.4 ;  (15.4) ;  (2.4) ;  14.9 ;  1.5 ;  13.0 ;  0.7 ;  12.7 ;  0.6 ;  11.6 ;  1.4 ;  (11.5) ;  (2.5) ;;;;;;;;;
Appenzell A.Rh.;  13.0 ;  0.6 ;  (15.0) ;  (8.0) ;  (14.9) ;  (2.3) ;  12.9 ;  1.2 ;  13.1 ;  0.8 ;  11.2 ;  1.7 ;  (13.7) ;  (2.0) ;;;;;;;;;
Appenzell I.Rh.;  13.9 ;  1.3 ;X  ;*  ;  (11.6) ;  (6.6) ;  (13.9) ;  (2.2) ;  (14.1) ;  (2.2) ;  (14.9) ;  (1.8) ;  (13.1) ;  (5.3) ;;;;;;;;;
St.Gallen;  13.9 ;  0.2 ;  16.5 ;  2.3 ;  14.9 ;  0.7 ;  14.2 ;  0.3 ;  13.7 ;  0.2 ;  13.4 ;  0.4 ;  12.3 ;  1.1 ;;;;;;;;;
Graubünden;  15.3 ;  0.4 ;  17.1 ;  3.1 ;  17.5 ;  1.3 ;  16.0 ;  0.7 ;  14.9 ;  0.5 ;  12.5 ;  0.9 ;  (13.8) ;  (3.0) ;;;;;;;;;
Aargau;  14.9 ;  0.1 ;  17.8 ;  1.2 ;  16.5 ;  0.4 ;  15.2 ;  0.2 ;  14.6 ;  0.1 ;  13.6 ;  0.3 ;  12.9 ;  0.7 ;;;;;;;;;
Thurgau;  13.2 ;  0.2 ;  13.5 ;  1.6 ;  14.7 ;  0.5 ;  13.7 ;  0.3 ;  13.0 ;  0.2 ;  12.4 ;  0.4 ;  11.2 ;  0.7 ;;;;;;;;;
Tessin;  13.4 ;  0.2 ;  11.9 ;  1.0 ;  13.4 ;  0.5 ;  13.4 ;  0.3 ;  13.4 ;  0.3 ;  13.9 ;  0.7 ;  15.6 ;  2.3 ;;;;;;;;;
Waadt;  16.8 ;  0.1 ;  20.6 ;  0.7 ;  17.8 ;  0.3 ;  16.6 ;  0.2 ;  16.2 ;  0.2 ;  16.0 ;  0.4 ;  17.7 ;  1.2 ;;;;;;;;;
Wallis;  13.7 ;  0.3 ;  15.6 ;  2.4 ;  15.8 ;  0.9 ;  13.6 ;  0.5 ;  13.1 ;  0.4 ;  13.0 ;  1.0 ;  (12.8) ;  (2.6) ;;;;;;;;;
