Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;  16.2 ;0.0 ;  18.0 ;  0.4 ;  17.2 ;  0.1 ;  16.3 ;  0.1 ;  15.7 ;  0.1 ;  15.6 ;  0.1 ;  16.6 ;  0.4 ;;;;;;;;;
Zürich;  18.7 ;  0.1 ;  21.6 ;  1.0 ;  20.2 ;  0.3 ;  18.8 ;  0.2 ;  17.9 ;  0.2 ;  17.8 ;  0.4 ;  19.5 ;  1.0 ;;;;;;;;;
Bern;  14.7 ;  0.1 ;  14.9 ;  1.0 ;  15.7 ;  0.3 ;  15.0 ;  0.2 ;  14.4 ;  0.2 ;  14.0 ;  0.3 ;  14.0 ;  1.0 ;;;;;;;;;
Luzern;  15.2 ;  0.1 ;  18.3 ;  1.3 ;  16.8 ;  0.5 ;  15.6 ;  0.2 ;  14.6 ;  0.2 ;  14.6 ;  0.4 ;  14.2 ;  0.8 ;;;;;;;;;
Uri;  13.4 ;  0.6 ;  (17.6) ;  (5.4) ;  (15.3) ;  (2.4) ;  13.6 ;  1.0 ;  12.9 ;  0.8 ;  (12.6) ;  (1.3) ;  (14.1) ;  (4.2) ;;;;;;;;;
Schwyz;  16.7 ;  0.4 ;  (15.6) ;  (4.6) ;  17.8 ;  1.1 ;  17.4 ;  0.8 ;  16.2 ;  0.5 ;  15.9 ;  0.8 ;  17.4 ;  2.8 ;;;;;;;;;
Obwalden;  14.0 ;  0.6 ;  (15.1) ;  (4.5) ;  (14.0) ;  (1.6) ;  14.6 ;  1.2 ;  13.7 ;  0.9 ;  (13.2) ;  (1.6) ;  (16.2) ;  (6.5) ;;;;;;;;;
Nidwalden;  16.3 ;  0.5 ;  (17.6) ;  (4.1) ;  17.5 ;  1.4 ;  16.8 ;  0.9 ;  15.8 ;  0.7 ;  15.8 ;  1.3 ;  (16.0) ;  (2.8) ;;;;;;;;;
Glarus;  12.9 ;  0.7 ;  (15.2) ;  (2.7) ;  (14.6) ;  (1.2) ;  12.9 ;  1.2 ;  13.1 ;  1.3 ;  (12.6) ;  (1.8) ;  (10.4) ;  (2.2) ;;;;;;;;;
Zug;  19.8 ;  0.3 ;  22.0 ;  2.7 ;  21.3 ;  1.2 ;  19.9 ;  0.4 ;  19.2 ;  0.3 ;  19.2 ;  0.8 ;  21.3 ;  2.5 ;;;;;;;;;
Freiburg;  14.9 ;  0.2 ;  17.8 ;  1.8 ;  16.4 ;  0.8 ;  15.2 ;  0.3 ;  14.4 ;  0.3 ;  13.8 ;  0.8 ;  14.4 ;  1.6 ;;;;;;;;;
Solothurn;  13.7 ;  0.2 ;  15.6 ;  1.9 ;  14.0 ;  0.7 ;  14.0 ;  0.3 ;  13.7 ;  0.3 ;  12.6 ;  0.5 ;  13.3 ;  2.1 ;;;;;;;;;
Basel-Stadt;  17.4 ;  0.3 ;  19.5 ;  1.3 ;  17.6 ;  0.4 ;  16.8 ;  0.3 ;  17.5 ;  0.4 ;  18.2 ;  1.4 ;  (19.6) ;  (5.1) ;;;;;;;;;
Basel-Landschaft;  16.7 ;  0.2 ;  14.4 ;  2.3 ;  17.2 ;  0.7 ;  17.0 ;  0.3 ;  16.5 ;  0.3 ;  16.3 ;  1.0 ;  18.0 ;  2.4 ;;;;;;;;;
Schaffhausen;  13.8 ;  0.4 ;  (14.1) ;  (3.6) ;  15.0 ;  0.9 ;  14.2 ;  0.5 ;  13.1 ;  0.5 ;  14.1 ;  1.0 ;  (13.4) ;  (4.3) ;;;;;;;;;
Appenzell A.Rh.;  13.3 ;  0.5 ;  (19.0) ;  (4.6) ;  15.0 ;  1.5 ;  13.1 ;  1.0 ;  13.0 ;  0.8 ;  13.5 ;  1.8 ;  (12.1) ;  (2.1) ;;;;;;;;;
Appenzell I.Rh.;  13.7 ;  1.1 ;X  ;*  ;  (14.4) ;  (5.4) ;  (14.1) ;  (2.3) ;  (13.1) ;  (1.5) ;  (13.5) ;  (1.8) ;  (13.1) ;  (2.1) ;;;;;;;;;
St.Gallen;  14.2 ;  0.2 ;  15.7 ;  1.8 ;  14.5 ;  0.6 ;  15.0 ;  0.3 ;  13.9 ;  0.2 ;  13.5 ;  0.4 ;  12.9 ;  0.8 ;;;;;;;;;
Graubünden;  15.5 ;  0.3 ;  17.2 ;  3.1 ;  17.1 ;  1.1 ;  15.4 ;  0.6 ;  15.2 ;  0.4 ;  13.9 ;  1.0 ;  (15.2) ;  (1.9) ;;;;;;;;;
Aargau;  15.2 ;  0.1 ;  16.6 ;  1.1 ;  16.5 ;  0.4 ;  15.5 ;  0.2 ;  14.9 ;  0.2 ;  14.2 ;  0.3 ;  13.7 ;  0.8 ;;;;;;;;;
Thurgau;  13.5 ;  0.2 ;  16.2 ;  2.2 ;  14.8 ;  0.6 ;  13.8 ;  0.3 ;  13.3 ;  0.3 ;  12.4 ;  0.6 ;  12.0 ;  0.9 ;;;;;;;;;
Tessin;  13.8 ;  0.2 ;  11.9 ;  0.9 ;  13.5 ;  0.4 ;  13.9 ;  0.2 ;  13.9 ;  0.3 ;  14.2 ;  0.7 ;  16.9 ;  1.8 ;;;;;;;;;
Waadt;  17.3 ;  0.1 ;  20.4 ;  0.7 ;  18.0 ;  0.3 ;  17.2 ;  0.2 ;  16.4 ;  0.2 ;  16.6 ;  0.4 ;  19.7 ;  1.1 ;;;;;;;;;
Wallis;  13.9 ;  0.3 ;  15.5 ;  1.7 ;  14.0 ;  0.9 ;  14.3 ;  0.4 ;  13.5 ;  0.4 ;  13.1 ;  0.9 ;  (15.9) ;  (4.1) ;;;;;;;;;
