Durchschnittlicher Mietpreis1) pro m2 in Franken nach Zimmerzahl und Kanton;;;;;;;;;;;;;;T 09.03.03.05;;;;;;;;;
2016;;;;;;;;;;;;;;;;;;;;;;;
;Bewohnte Mietwohnungen mit … Zimmer(n);;;;;;;;;;;;;;;;;;;;;;
;Total;;1;;2;;3;;4;;5;;6+;;;;;;;;;;
;"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";"Durchschnittl.
Mietpreis 
pro m2";"Vertrauens-intervall: 
± (in CHF)";;;;;;;;;
Schweiz;  15.8 ;0.0 ;  18.1 ;  0.3 ;  17.2 ;  0.1 ;  15.9 ;  0.1 ;  15.1 ;  0.1 ;  15.1 ;  0.1 ;  16.1 ;  0.4 ;;;;;;;;;
Zürich;  18.6 ;  0.1 ;  22.6 ;  0.8 ;  20.6 ;  0.3 ;  18.6 ;  0.1 ;  17.6 ;  0.1 ;  17.5 ;  0.3 ;  19.0 ;  0.8 ;;;;;;;;;
Bern;  14.3 ;  0.1 ;  16.2 ;  0.9 ;  15.5 ;  0.3 ;  14.5 ;  0.2 ;  13.9 ;  0.2 ;  13.4 ;  0.4 ;  13.3 ;  0.8 ;;;;;;;;;
Luzern;  15.0 ;  0.1 ;  18.1 ;  1.4 ;  16.9 ;  0.5 ;  15.4 ;  0.2 ;  14.2 ;  0.2 ;  14.3 ;  0.4 ;  14.2 ;  0.9 ;;;;;;;;;
Uri;  13.0 ;  0.6 ;  (12.4) ;  (4.2) ;  (15.0) ;  (2.4) ;  13.5 ;  1.2 ;  13.0 ;  0.7 ;  (12.0) ;  (1.6) ;  (8.9) ;  (3.1) ;;;;;;;;;
Schwyz;  16.5 ;  0.3 ;  (18.2) ;  (2.9) ;  16.8 ;  1.1 ;  16.7 ;  0.7 ;  16.1 ;  0.5 ;  16.5 ;  0.9 ;  (19.1) ;  (3.1) ;;;;;;;;;
Obwalden;  13.8 ;  0.6 ;  (13.8) ;  (4.9) ;  (14.3) ;  (2.0) ;  13.2 ;  1.1 ;  14.3 ;  0.7 ;  (12.9) ;  (1.7) ;  (16.2) ;  (2.7) ;;;;;;;;;
Nidwalden;  15.0 ;  0.4 ;  (13.7) ;  (3.7) ;  15.6 ;  1.3 ;  15.3 ;  0.9 ;  14.7 ;  0.6 ;  14.4 ;  1.0 ;  (16.3) ;  (3.3) ;;;;;;;;;
Glarus;  12.3 ;  0.5 ;  (11.8) ;  (5.9) ;  (12.3) ;  (1.8) ;  13.6 ;  0.8 ;  11.9 ;  0.7 ;  (10.1) ;  (1.5) ;  (11.7) ;  (3.4) ;;;;;;;;;
Zug;  19.5 ;  0.3 ;  21.4 ;  2.4 ;  21.5 ;  0.9 ;  20.2 ;  0.5 ;  18.9 ;  0.3 ;  18.3 ;  0.7 ;  19.8 ;  1.7 ;;;;;;;;;
Freiburg;  14.1 ;  0.2 ;  17.3 ;  1.6 ;  15.4 ;  0.6 ;  14.5 ;  0.4 ;  13.3 ;  0.2 ;  13.5 ;  0.6 ;  12.0 ;  1.5 ;;;;;;;;;
Solothurn;  13.5 ;  0.2 ;  14.2 ;  2.0 ;  15.1 ;  0.6 ;  13.3 ;  0.3 ;  13.3 ;  0.3 ;  12.2 ;  0.5 ;  14.0 ;  1.4 ;;;;;;;;;
Basel-Stadt;  17.2 ;  0.2 ;  19.5 ;  1.2 ;  17.7 ;  0.4 ;  16.9 ;  0.3 ;  16.8 ;  0.4 ;  16.6 ;  0.9 ;  (17.2) ;  (1.4) ;;;;;;;;;
Basel-Landschaft;  16.1 ;  0.2 ;  13.6 ;  2.3 ;  16.7 ;  0.7 ;  16.3 ;  0.3 ;  16.0 ;  0.3 ;  16.4 ;  1.0 ;  14.4 ;  1.3 ;;;;;;;;;
Schaffhausen;  13.1 ;  0.3 ;  (14.7) ;  (2.8) ;  14.5 ;  0.7 ;  13.4 ;  0.5 ;  12.4 ;  0.4 ;  12.2 ;  1.1 ;  (14.0) ;  (2.3) ;;;;;;;;;
Appenzell A.Rh.;  13.0 ;  0.5 ;  (14.5) ;  (4.1) ;  14.6 ;  1.4 ;  12.6 ;  0.8 ;  12.9 ;  0.8 ;  12.5 ;  1.5 ;  (12.4) ;  (1.6) ;;;;;;;;;
Appenzell I.Rh.;  12.6 ;  1.2 ;  (19.1) ;  (11.1) ;  (15.5) ;  (2.9) ;  (13.2) ;  (2.1) ;  (12.9) ;  (1.9) ;  (9.2) ;  (3.2) ;  (9.5) ;  (1.3) ;;;;;;;;;
St.Gallen;  13.7 ;  0.1 ;  14.4 ;  1.5 ;  14.8 ;  0.5 ;  14.0 ;  0.3 ;  13.5 ;  0.2 ;  12.8 ;  0.4 ;  12.4 ;  0.9 ;;;;;;;;;
Graubünden;  14.7 ;  0.4 ;  16.6 ;  2.4 ;  17.4 ;  1.1 ;  15.3 ;  0.5 ;  13.9 ;  0.6 ;  12.8 ;  0.6 ;  (12.3) ;  (2.9) ;;;;;;;;;
Aargau;  14.8 ;  0.2 ;  16.4 ;  1.4 ;  16.3 ;  0.5 ;  15.1 ;  0.2 ;  14.4 ;  0.2 ;  13.8 ;  0.4 ;  15.0 ;  2.7 ;;;;;;;;;
Thurgau;  13.0 ;  0.1 ;  14.0 ;  1.7 ;  13.9 ;  0.6 ;  13.6 ;  0.2 ;  12.7 ;  0.2 ;  11.9 ;  0.4 ;  11.8 ;  0.8 ;;;;;;;;;
Tessin;  13.4 ;  0.2 ;  11.8 ;  0.8 ;  13.2 ;  0.4 ;  13.4 ;  0.2 ;  13.6 ;  0.2 ;  14.1 ;  0.8 ;  15.5 ;  1.7 ;;;;;;;;;
Waadt;  17.0 ;  0.1 ;  21.1 ;  0.7 ;  18.4 ;  0.3 ;  16.6 ;  0.2 ;  16.2 ;  0.2 ;  16.3 ;  0.4 ;  17.6 ;  0.9 ;;;;;;;;;
Wallis;  13.2 ;  0.3 ;  16.0 ;  1.5 ;  14.3 ;  1.3 ;  13.5 ;  0.4 ;  12.4 ;  0.3 ;  12.0 ;  0.6 ;  (13.6) ;  (2.2) ;;;;;;;;;
